model_id,family,data_mode,candidate_rank,source_optimizer,source_trial,seed,valid_relative_l2_horizon_time,valid_relative_l2_mean,finite_relative_l2_fraction
perc_full64,perc,full64,7,forest,46,9403110,24.8,1.2192927203552748,1.0
perc_full64,perc,full64,7,forest,46,9403111,25.6,1.245034047282149,1.0
perc_full64,perc,full64,7,forest,46,9403112,24.4,1.2351792308840062,1.0
perc_full64,perc,full64,7,forest,46,9403113,39.6,1.3888142246819597,1.0
perc_full64,perc,full64,7,forest,46,9403114,25.700000000000003,1.3160863027164378,1.0
perc_full64,perc,full64,7,forest,46,9403115,38.5,1.3974030337397951,1.0
perc_full64,perc,full64,8,gp,64,9403101,72.8,1.1034052417935858,1.0
perc_full64,perc,full64,8,gp,64,9403102,20.3,1.2786969610848216,0.4103030303030303
perc_full64,perc,full64,8,gp,64,9403103,24.1,1.3961344391490758,1.0
perc_full64,perc,full64,8,gp,64,9403104,23.9,1.4055636442675907,0.6165656565656565
perc_full64,perc,full64,8,gp,64,9403105,24.6,1.0537046363631126,0.1363636363636363
perc_full64,perc,full64,8,gp,64,9403106,25.6,1.1524597672730856,1.0
perc_full64,perc,full64,8,gp,64,9403107,20.4,1.3088231034914877,1.0
perc_full64,perc,full64,8,gp,64,9403108,25.1,1.2151474971196372,0.4604040404040404
perc_full64,perc,full64,8,gp,64,9403109,38.7,1.297609359487115,0.487070707070707
perc_full64,perc,full64,8,gp,64,9403110,25.0,1.3360132527815072,1.0
perc_full64,perc,full64,8,gp,64,9403111,25.6,1.2554686333750362,1.0
perc_full64,perc,full64,8,gp,64,9403112,25.9,1.3070722909261112,0.5793939393939394
perc_full64,perc,full64,8,gp,64,9403113,24.0,1.411468863356394,1.0
perc_full64,perc,full64,8,gp,64,9403114,37.8,1.2678069151591185,1.0
perc_full64,perc,full64,8,gp,64,9403115,26.700000000000003,1.4221132687299782,1.0
perc_full64,perc,full64,9,gbrt,27,9403101,19.9,1.3800125892944624,1.0
perc_full64,perc,full64,9,gbrt,27,9403102,18.5,1.459650490563294,1.0
perc_full64,perc,full64,9,gbrt,27,9403103,17.1,1.5359254726898854,1.0
perc_full64,perc,full64,9,gbrt,27,9403104,19.700000000000003,1.379379348918522,1.0
perc_full64,perc,full64,9,gbrt,27,9403105,20.6,1.4528232554428162,1.0
perc_full64,perc,full64,9,gbrt,27,9403106,24.6,1.5019256439043789,1.0
perc_full64,perc,full64,9,gbrt,27,9403107,17.8,1.401345912268493,1.0
perc_full64,perc,full64,9,gbrt,27,9403108,19.700000000000003,1.3657241083058318,1.0
perc_full64,perc,full64,9,gbrt,27,9403109,18.9,1.3518333437374517,1.0
perc_full64,perc,full64,9,gbrt,27,9403110,19.9,1.4673227279647123,1.0
perc_full64,perc,full64,9,gbrt,27,9403111,20.4,1.3025964878286782,1.0
perc_full64,perc,full64,9,gbrt,27,9403112,19.5,1.270654479273465,1.0
perc_full64,perc,full64,9,gbrt,27,9403113,19.700000000000003,1.4319200707171456,1.0
perc_full64,perc,full64,9,gbrt,27,9403114,20.3,1.5575877113645926,1.0
perc_full64,perc,full64,9,gbrt,27,9403115,18.2,1.4502802082181188,1.0
perc_full64,perc,full64,10,gbrt,60,9403101,18.3,0.6566047704613271,0.0561616161616161
perc_full64,perc,full64,10,gbrt,60,9403102,25.3,0.6865061519893009,0.1153535353535353
perc_full64,perc,full64,10,gbrt,60,9403103,19.6,1.098786701417852,0.0951515151515151
perc_full64,perc,full64,10,gbrt,60,9403104,20.1,0.6319059352097324,0.0662626262626262
perc_full64,perc,full64,10,gbrt,60,9403105,17.7,0.8429645007841875,0.0527272727272727
perc_full64,perc,full64,10,gbrt,60,9403106,19.1,0.7826708890844254,0.0604040404040404
perc_full64,perc,full64,10,gbrt,60,9403107,21.5,0.7442782733713406,0.0929292929292929
perc_full64,perc,full64,10,gbrt,60,9403108,16.8,0.7622368055338647,0.046060606060606
perc_full64,perc,full64,10,gbrt,60,9403109,16.7,0.7160553417607143,0.0446464646464646
perc_full64,perc,full64,10,gbrt,60,9403110,18.7,0.9998094575828974,0.0862626262626262
perc_full64,perc,full64,10,gbrt,60,9403111,17.900000000000002,1.203331936613501,0.121010101010101
perc_full64,perc,full64,10,gbrt,60,9403112,18.4,0.8372792596606041,0.0608080808080808
perc_full64,perc,full64,10,gbrt,60,9403113,18.5,0.716828121915685,0.0581818181818181
perc_full64,perc,full64,10,gbrt,60,9403114,17.1,1.0197167264089633,0.0555555555555555
perc_full64,perc,full64,10,gbrt,60,9403115,24.6,1.138346108539614,0.1141414141414141
perc_latent8,perc,latent8,1,forest,47,9403101,6.5,1.390146740717251,0.2608080808080808
perc_latent8,perc,latent8,1,forest,47,9403102,6.9,0.9393948064383107,0.0529292929292929
perc_latent8,perc,latent8,1,forest,47,9403103,6.800000000000001,1.132055439456241,0.0923232323232323
perc_latent8,perc,latent8,1,forest,47,9403104,17.0,1.1546954514069336,1.0
perc_latent8,perc,latent8,1,forest,47,9403105,5.7,1.127876606110899,0.0761616161616161
perc_latent8,perc,latent8,1,forest,47,9403106,15.8,0.9845685829239084,0.0644444444444444
perc_latent8,perc,latent8,1,forest,47,9403107,16.6,0.7429790282388657,0.0547474747474747
